ID,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,Q11.6,Q12.7,Q12.8,Q12.9,Q12.10,Q12.11,Q12.12,Q12.13,Q12.14,Q12.15,Q12.16,Q12.17,Q12.18,Q12.19,Q21.1,Q21.2,Q21.3,Q21.4,Q21.5,Q21.6,Q22.7,Q22.8,Q22.9,Q22.10,Q22.11,Q22.12,Q22.13,Q22.14,Q23.15,Q23.16,Q23.17,Q23.18,Q23.19,Q23.20,Q23.21,Q24.22,Q24.23,Q24.24,Q24.25,Q25.26,Q25.27,Q25.28,Q25.29,Q25.30,Q25.31,Q25.32,Q25.33,Q31.1,Q31.2,Q31.3,Q31.4,Q32.5,Q32.6,Q32.7,Q32.8,Q32.9,Q32.10,Q33.11,Q33.12,Q33.13,Q33.14,Q33.15,Q34.16,Q34.17,Q34.18,Q34.19,Q41.1,Q41.2,Q41.3,Q41.4,Q41.5,Q41.6,Q41.7,Q41.8,Q41.9,Q41.10,Q42.11,Q42.12,Q42.13,Q51.1,Q51.2,Q51.3,Q51.4,Q52.5,Q52.6,Q52.7,Q52.8
BIOQ-DOC-001,4,3,3,4,4,4,1,2,2,2,4,3,3,3,3,3,3,4,4,1,1,1,1,1,1,2,2,3,4,3,3,1,1,1,1,1,1,1,1,3,3,1,1,1,1,2,3,3,1,4,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,4,4,4,4,4,4,4
BIOQ-DOC-002,1,1,1,4,4,1,1,1,1,4,1,1,2,1,1,3,1,4,4,1,1,1,4,4,4,4,4,4,2,1,1,1,1,1,1,4,4,4,1,4,1,1,1,4,4,4,3,4,3,2,4,4,2,1,1,1,4,1,1,1,4,4,1,4,3,4,4,1,1,1,1,2,1,1,1,2,4,4,4,1,4,4,4,4,4,2,2,1,1,4,4,4
BIOQ-DOC-003,2,2,4,4,4,2,1,2,2,4,4,2,2,3,2,2,2,4,4,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,2,1,1,3,2,1,1,1,1,4,4,3,1,3,4,4,4,2,2,1,1,1,1,1,2,3,3,1,4,4,4,2,3,3,4,4,2,3,3,2,2,2,2,1,2,2,4,4,4,4,4,2,4,4,4,2,4
BIOQ-DOC-004,1,1,4,4,4,1,1,1,4,1,1,2,1,1,2,2,1,4,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,4,1,1,1,1,4,4,4,3,3,3,1,1,1,2,1,1,1,1,1,1,1,4,4,1,4,4,4,1,4,1,4,4,1,1,1,1,1,2,1,2,1,1,4,2,1,4,4,1,1,1,1,4,4
BIOQ-DOC-005,1,1,1,2,2,2,1,2,2,3,1,2,2,2,2,2,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,3,3,2,3,1,4,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,4
BIOQ-DOC-006,2,1,2,4,4,1,1,4,4,4,2,1,2,3,2,3,4,4,4,1,1,1,2,2,1,4,4,2,4,2,1,4,3,2,2,2,1,1,1,3,1,1,3,2,4,4,3,4,3,4,4,4,3,4,1,1,1,4,1,4,4,3,1,4,4,4,4,1,1,1,1,2,2,4,3,4,4,2,4,2,4,4,4,4,4,4,4,4,1,1,4,4
BIOQ-DOC-007,1,2,1,4,4,2,1,2,2,4,2,2,2,2,2,4,2,4,4,2,2,4,2,2,2,1,2,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,3,1,3,3,3,2,4,4,2,1,1,1,1,4,1,2,3,3,1,4,3,4,4,1,2,1,1,2,1,4,2,4,4,3,4,4,4,4,4,2,4,4,2,1,1,1,4,4
BIOQ-DOC-008,1,1,2,4,4,1,1,4,3,3,4,1,1,1,1,4,1,4,4,1,1,1,1,1,1,1,1,1,2,2,2,4,2,2,1,1,2,4,3,1,1,3,1,1,4,2,4,1,3,1,1,1,4,2,1,1,3,4,2,1,4,4,1,4,4,1,4,3,3,3,1,1,2,4,1,4,4,1,4,1,1,1,4,4,4,4,1,4,4,2,1,4
BIOQ-DOC-009,1,2,1,4,4,1,1,4,4,4,4,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,4,4,4,4,2,3,4,1,1,1,4,1,1,1,1,1,4,4,4,1,4,4,4,4,1,4,1,4,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,1,1,1,1
BIOQ-DOC-010,1,4,4,4,2,4,1,1,4,4,1,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,3,1,1,1,4,1,1,1,1,1,1,1,1,1,1,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,4,1
BIOQ-DOC-011,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,1,1,1,1
BIOQ-DOC-012,1,1,1,4,4,2,2,2,4,2,2,4,2,2,1,4,4,1,4,1,4,1,1,1,4,1,2,2,4,2,2,4,4,2,2,2,1,1,2,2,2,1,1,1,4,4,4,2,3,4,1,4,1,2,1,1,1,1,2,1,2,4,2,4,4,1,2,2,3,3,4,4,2,4,2,1,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4
BIOQ-DOC-013,4,4,4,4,4,4,2,1,4,4,3,3,2,2,3,3,4,1,4,1,1,2,2,2,1,1,2,2,1,4,2,4,4,1,2,3,1,2,4,4,1,1,1,2,4,4,3,3,3,1,4,2,3,2,1,1,1,2,4,1,3,3,2,3,3,4,4,2,2,2,1,2,2,2,3,2,2,2,3,3,2,4,4,4,4,4,4,4,2,4,3,2
BIOQ-DOC-014,1,4,1,4,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,4,4,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,4,4,4,1,1,1,1,1,1,1,1
BIOQ-DOC-015,3,2,2,4,4,2,2,3,3,3,4,2,2,2,2,2,2,3,3,3,2,3,3,3,3,3,3,2,2,2,2,2,1,3,2,3,1,1,3,2,1,1,1,1,3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,3
BIOQ-DOC-016,1,1,1,3,3,2,1,2,1,3,1,2,3,2,2,2,1,3,3,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,2,2,1,1,1,1,2,2,2,3,3,2,3,2,3,2,1,1,1,3,1,1,3,1,1,1,1,2,2,2,2,1,1,3,2,1,1,2,2,2,3,2,2,4,3,1,1,1,2,1,1,1,4,4
BIOQ-DOC-017,4,4,4,4,4,2,1,1,4,4,4,1,1,1,2,3,4,4,4,1,1,1,4,1,1,4,4,2,1,2,2,4,1,1,1,1,1,4,2,3,1,1,1,1,4,4,3,4,4,2,4,4,4,4,1,1,4,2,1,4,4,4,1,4,3,4,4,4,4,4,4,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,1,4,4,4
BIOQ-DOC-018,2,2,2,4,4,1,1,1,1,2,2,2,2,3,3,3,3,3,2,2,1,1,1,1,1,2,2,1,1,2,1,2,2,2,1,1,1,1,2,2,1,2,1,1,2,3,3,3,3,1,2,2,2,2,1,1,2,2,2,1,2,2,1,3,2,3,4,2,2,1,2,2,2,1,1,1,1,1,1,2,2,4,4,1,4,2,1,4,1,4,4,4
BIOQ-DOC-019,1,1,2,3,4,2,4,1,4,2,2,2,2,2,2,4,2,4,4,1,1,4,4,4,4,4,4,4,1,1,1,2,1,4,2,2,1,1,2,2,1,1,2,1,4,4,4,4,4,2,4,4,2,2,1,1,1,2,1,2,4,4,1,4,2,4,4,1,2,1,4,1,1,2,2,2,2,1,2,2,2,4,4,1,4,4,2,2,2,2,2,2
BIOQ-DOC-020,2,3,1,4,4,1,1,1,3,2,2,3,3,1,1,3,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,3,1,2,2,2,1,1,1,2,1,1,1,2,2,3,3,3,3,3,1,1,3,4,1,1,3,3,3,1,2,1,1,3,3,1,1,1,2,1,1,3,2,1,1,2,1,1,2,2,2,2,2,1,3,3,2,2,2,1,1,1
BIOQ-DOC-021,1,1,1,3,2,1,1,1,2,2,1,2,1,2,2,1,1,4,4,1,1,1,1,2,1,1,1,2,4,2,2,4,2,1,1,1,1,2,2,4,1,1,1,4,4,4,3,3,3,4,4,4,4,4,1,2,2,4,4,4,4,4,1,4,4,4,4,2,2,2,2,1,1,4,1,4,4,1,4,1,1,4,4,4,4,4,4,4,4,1,4,4
BIOQ-DOC-022,1,1,1,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BIOQ-DOC-023,1,2,2,3,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,3,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,3,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,1,1,1
BIOQ-DOC-024,2,1,2,3,3,1,1,1,4,3,3,3,3,2,2,2,4,4,4,1,1,1,1,1,1,2,2,3,1,2,2,3,1,1,2,3,1,1,1,3,1,1,1,3,3,3,3,3,3,2,4,4,2,1,1,1,1,1,1,2,3,3,4,4,2,1,4,2,2,1,4,1,1,2,2,1,2,2,3,1,1,2,4,4,4,4,1,2,4,4,4,4
BIOQ-DOC-025,2,2,4,4,4,4,1,1,2,2,2,2,2,2,1,2,1,4,4,1,1,1,1,1,2,1,1,2,1,2,1,2,2,2,2,2,1,1,2,2,2,1,1,2,2,4,4,4,3,1,4,4,2,1,1,1,2,2,1,1,2,4,2,4,4,4,4,2,2,1,1,2,2,2,1,1,2,2,1,2,2,2,4,4,4,4,4,4,1,1,2,2
BIOQ-DOC-026,1,2,1,4,4,1,1,4,4,4,1,1,3,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,3,3,4,4,4,1,1,1,1,1,1,1,1,4,1,1,4,4,4,4,1,1,1,1,1,1,4,1,4,4,1,4,1,1,1,1,1,4,4,1,1,1,1,1,4
